2026/07/15 20:55:11.899, 1, 37849 MiB, 2592 MiB, 87 %
2026/07/15 20:55:12.899, 0, 35261 MiB, 5180 MiB, 97 %
2026/07/15 20:55:12.899, 1, 37849 MiB, 2592 MiB, 95 %
2026/07/15 20:55:13.899, 0, 35261 MiB, 5180 MiB, 94 %
2026/07/15 20:55:13.900, 1, 37849 MiB, 2592 MiB, 91 %
2026/07/15 20:55:14.900, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:55:14.900, 1, 37849 MiB, 2592 MiB, 89 %
2026/07/15 20:55:15.900, 0, 35261 MiB, 5180 MiB, 96 %
2026/07/15 20:55:15.900, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:55:16.901, 0, 35261 MiB, 5180 MiB, 96 %
2026/07/15 20:55:16.901, 1, 37849 MiB, 2592 MiB, 96 %
2026/07/15 20:55:17.901, 0, 35261 MiB, 5180 MiB, 96 %
2026/07/15 20:55:17.902, 1, 37849 MiB, 2592 MiB, 96 %
2026/07/15 20:55:18.902, 0, 35261 MiB, 5180 MiB, 93 %
2026/07/15 20:55:18.902, 1, 37849 MiB, 2592 MiB, 88 %
2026/07/15 20:55:19.902, 0, 35261 MiB, 5180 MiB, 100 %
2026/07/15 20:55:19.902, 1, 37849 MiB, 2592 MiB, 100 %
2026/07/15 20:55:20.903, 0, 35261 MiB, 5180 MiB, 97 %
