2026/07/15 20:51:01.825, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:02.825, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:51:02.826, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:03.826, 0, 33669 MiB, 6772 MiB, 95 %
2026/07/15 20:51:03.826, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:51:04.826, 0, 33669 MiB, 6772 MiB, 95 %
2026/07/15 20:51:04.826, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:51:05.826, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:51:05.827, 1, 28591 MiB, 11850 MiB, 90 %
2026/07/15 20:51:06.827, 0, 33669 MiB, 6772 MiB, 85 %
2026/07/15 20:51:06.827, 1, 28591 MiB, 11850 MiB, 87 %
2026/07/15 20:51:07.827, 0, 33669 MiB, 6772 MiB, 89 %
2026/07/15 20:51:07.827, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:51:08.828, 0, 33669 MiB, 6772 MiB, 93 %
2026/07/15 20:51:08.828, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:51:09.828, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:51:09.828, 1, 28591 MiB, 11850 MiB, 91 %
2026/07/15 20:51:10.828, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:51:10.829, 1, 28591 MiB, 11850 MiB, 95 %
2026/07/15 20:51:11.829, 0, 33669 MiB, 6772 MiB, 97 %
2026/07/15 20:51:11.829, 1, 28591 MiB, 11850 MiB, 91 %
2026/07/15 20:51:12.829, 0, 33669 MiB, 6772 MiB, 89 %
2026/07/15 20:51:12.830, 1, 28591 MiB, 11850 MiB, 94 %
2026/07/15 20:51:13.830, 0, 33669 MiB, 6772 MiB, 89 %
2026/07/15 20:51:13.830, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:14.831, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:51:14.831, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:15.831, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:51:15.831, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:51:16.831, 0, 33669 MiB, 6772 MiB, 95 %
2026/07/15 20:51:16.832, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:51:17.832, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:51:17.833, 1, 28591 MiB, 11850 MiB, 95 %
2026/07/15 20:51:18.833, 0, 33669 MiB, 6772 MiB, 89 %
2026/07/15 20:51:18.833, 1, 28591 MiB, 11850 MiB, 89 %
2026/07/15 20:51:19.833, 0, 33669 MiB, 6772 MiB, 87 %
2026/07/15 20:51:19.833, 1, 28591 MiB, 11850 MiB, 94 %
2026/07/15 20:51:20.834, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:51:20.834, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:21.834, 0, 33669 MiB, 6772 MiB, 97 %
2026/07/15 20:51:21.834, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:51:22.834, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:51:22.835, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:51:23.835, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:51:23.835, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:51:24.836, 0, 33669 MiB, 6772 MiB, 97 %
2026/07/15 20:51:24.836, 1, 28591 MiB, 11850 MiB, 92 %
2026/07/15 20:51:25.836, 0, 33669 MiB, 6772 MiB, 90 %
2026/07/15 20:51:25.836, 1, 28591 MiB, 11850 MiB, 90 %
2026/07/15 20:51:26.836, 0, 33669 MiB, 6772 MiB, 90 %
2026/07/15 20:51:26.836, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:27.837, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:51:27.837, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:51:28.837, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:51:28.837, 1, 28591 MiB, 11850 MiB, 93 %
2026/07/15 20:51:29.837, 0, 33669 MiB, 6772 MiB, 98 %
2026/07/15 20:51:29.837, 1, 28591 MiB, 11850 MiB, 87 %
2026/07/15 20:51:30.838, 0, 33669 MiB, 6772 MiB, 95 %
2026/07/15 20:51:30.838, 1, 28591 MiB, 11850 MiB, 90 %
2026/07/15 20:51:31.838, 0, 33669 MiB, 6772 MiB, 86 %
2026/07/15 20:51:31.838, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:51:32.838, 0, 33669 MiB, 6772 MiB, 91 %
2026/07/15 20:51:32.838, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:51:33.839, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:51:33.839, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:51:34.839, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:51:34.839, 1, 28591 MiB, 11850 MiB, 93 %
2026/07/15 20:51:35.839, 0, 33669 MiB, 6772 MiB, 91 %
2026/07/15 20:51:35.840, 1, 28591 MiB, 11850 MiB, 93 %
2026/07/15 20:51:36.840, 0, 33669 MiB, 6772 MiB, 89 %
2026/07/15 20:51:36.840, 1, 28591 MiB, 11850 MiB, 86 %
2026/07/15 20:51:37.840, 0, 33669 MiB, 6772 MiB, 90 %
2026/07/15 20:51:37.840, 1, 28591 MiB, 11850 MiB, 98 %
2026/07/15 20:51:38.841, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:51:38.841, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:39.841, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:51:39.841, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:51:40.841, 0, 33669 MiB, 6772 MiB, 91 %
2026/07/15 20:51:40.842, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:51:41.842, 0, 33669 MiB, 6772 MiB, 87 %
2026/07/15 20:51:41.842, 1, 28591 MiB, 11850 MiB, 92 %
2026/07/15 20:51:42.842, 0, 33669 MiB, 6772 MiB, 90 %
2026/07/15 20:51:42.842, 1, 28591 MiB, 11850 MiB, 89 %
2026/07/15 20:51:43.842, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:51:43.843, 1, 28591 MiB, 11850 MiB, 86 %
2026/07/15 20:51:44.843, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:51:44.843, 1, 28591 MiB, 11850 MiB, 99 %
2026/07/15 20:51:45.843, 0, 33669 MiB, 6772 MiB, 95 %
2026/07/15 20:51:45.843, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:46.843, 0, 33669 MiB, 6772 MiB, 95 %
2026/07/15 20:51:46.844, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:47.844, 0, 33669 MiB, 6772 MiB, 87 %
2026/07/15 20:51:47.844, 1, 28591 MiB, 11850 MiB, 96 %
2026/07/15 20:51:48.844, 0, 33669 MiB, 6772 MiB, 87 %
2026/07/15 20:51:48.845, 1, 28591 MiB, 11850 MiB, 90 %
2026/07/15 20:51:49.845, 0, 33669 MiB, 6772 MiB, 89 %
2026/07/15 20:51:49.845, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:50.845, 0, 33669 MiB, 6772 MiB, 90 %
2026/07/15 20:51:50.845, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:51.845, 0, 33669 MiB, 6772 MiB, 100 %
2026/07/15 20:51:51.846, 1, 28591 MiB, 11850 MiB, 100 %
2026/07/15 20:51:52.846, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:51:52.846, 1, 28591 MiB, 11850 MiB, 95 %
2026/07/15 20:51:53.846, 0, 33669 MiB, 6772 MiB, 96 %
2026/07/15 20:51:53.846, 1, 28591 MiB, 11850 MiB, 97 %
2026/07/15 20:51:54.847, 0, 33669 MiB, 6772 MiB, 88 %
2026/07/15 20:51:54.847, 1, 28591 MiB, 11850 MiB, 90 %
2026/07/15 20:51:55.847, 0, 33669 MiB, 6772 MiB, 90 %
